+----------------------+------------+------------+----------------------------------------------------------------------------------------------------------------------------------+
| Name                 | Year       | Day Month  | BLAKE2b hash                                                                                                                     |
+----------------------+------------+------------+----------------------------------------------------------------------------------------------------------------------------------+
| Anastasija           |       2014 |      29.11 | 002B55C05626B7785DEF426B537E484027B96D4CAD16F679E473933840E8BCD033757087B4E3B467D69293AC205811079A966C855E049F9686F39C69A5D7D94F |
| Antanas              |       2012 |      21.09 | 0199EFF2F73318B43E8B2CBB3B3DC97075E43AF4BA47559D15A77B2FB46F577A7B59C007F8B01C7DCDA666362ADEEABC5AFF987FCE5C207A90164C7311D6875E |
| Juozas               |       2020 |       1.05 | 034E2B84947A3BF438ECD7AE76C9A047D414B1CCA81795CA8F7215C26E4470B58201EAA23F4F5568E7CFE566987C7C665545D2A64685175A16852381090ED90C |
| Rugile               |       2005 |      26.02 | 0850A788A25E833EF4014C9DA9E519DBE7B8FB8FDA324DEF371E4F01D44996783577FEA041E9CB48E52C7580A6DC028AAA18C22A181208C79AF503BBC317EE0F |
| Anastasija           |       2009 |      23.12 | 0CA66620C0E8F4CCBD5A7685F15AE5B56EEF8F1DF05063E37459FA67A13EEDC220AE5518E47C6AD40174B014734918201776696E70649A7C233DCBC7B48BB52E |
| Anastasija           |       2018 |      21.03 | 0CA66620C0E8F4CCBD5A7685F15AE5B56EEF8F1DF05063E37459FA67A13EEDC220AE5518E47C6AD40174B014734918201776696E70649A7C233DCBC7B48BB52E |
| Ona                  |       2002 |       3.05 | 0D1CDF39E3327E6B3C0AA3F2253901C450D3E91C4EF12B413AC27EFF65FA9AE9E31D46EB93142F67C198E4DDE65DC3BF8B40EFB4F1569683EF5FDD18983A920B |
| Bulve                |       2005 |      26.02 | 105F05A88089EE940BFEA3B33C8CE4E5C9801B1FD5B11E538F2A63C2669A7AAF99CD1CCDCF89CD3931097C9643EDDB0F494F4859C9D4B089C51DECE0C991E95D |
| Ruta                 |       2017 |      31.08 | 1358CE3047599FDD382544522256F8CE28998DC4B5CF21AAFD34334DC049C3D1413286ECD1EC939B99FB26BC1F4558CEAC7000AC86F3506D9E165E2CE64192DA |
| Antanas              |       1983 |      16.04 | 1683F0B25388E19854AE7D19303BD2CCCA38BC2EE747D61160224E95A1FF8311C8EC31C4774B059202E48241B51A710951C5859FD17F49BC09B5649C5FDEC0DF |
| Juozas               |       1987 |      30.08 | 175AD95E2F10D59A4C4D0444A703034E8B2578F958F7FF2C2D5AAB966FC41238879155C6A962AB25E572A599922E68D268E64B202B5F0FDE911DE2DBBFD2B7BC |
